text,sentiment
"Early Monday,great  Rainy Monday,not so great :|",negative
wonders when all of these end..,negative
Today is way too stressful.,negative
gah!,negative
wanna,positive
diet is working great,positive
LOVE,positive
"You`re welcome, of course!",positive
May,positive
getting sick... Ugh I`m losing my voice!,negative
they make my gums hurt,negative
died,negative
sad,negative
Missing,negative
fail,negative
sarcy,negative
lOve,positive
e hope,positive
hurt..,negative
nobody loves me on twitter,negative
good,positive
i dont think you can vote anymore!,negative
Iiight thanks.,positive
",love",positive
stupid.,negative
omg i had that book its soo funny,positive
pretty tired after a nice full day.,positive
perfect,positive
Had great time,positive
check out this funny movie,positive
happy,positive
Beautiful,positive
not good!,negative
all the photos  niceeeee,positive
A relaxing,positive
why you never answer me...,negative
sick,negative
overreaction..,negative
too bad,negative
Annoyed,negative
sorry we keep missing each other...,negative
SUCK,negative
Thanks,positive
Madly in love,positive
MISS,negative
Happy Mother`s Day,positive
thank,positive
passed away,negative
Indeed. Have a nice week!,positive
Don`t count on it,negative
puncture!!,negative
favorite,positive
**** you rhinitis!,negative
headache and colds..,negative
don`t have an appetite,negative
LOVE YOOOOUUU.,positive
good,positive
Happy Mother`s Day to all Mothers out there,positive
best,positive
i miss my long hairrr,negative
congratulation,positive
LOVE,positive
Relaxing,positive
relaxing night at home with best people,positive
Wish,positive
I miss you too,negative
happy,positive
Worried,negative
.your blog won`t let me post a comment.,negative
havent ate today,negative
Tiring,negative
yay!,positive
goood,positive
sore!,negative
tired,negative
We`re not gonna be able to talk again,negative
Cool.,positive
hapee,positive
have fun,positive
eventful..,positive
my little booboo is sick,negative
Happy mothers day,positive
wow. hehehe. mushy-mushy mode.,positive
good,positive
badly,negative
attacked,negative
just completely lame. I`m sorry dude.,negative
good.,positive
Dumb,negative
w hope uve hada good day,positive
officially the BEST way,positive
Happy,positive
Looks like no diamond ball for me,negative
Ugh worried about my math test,negative
might just have made me cry,negative
special,positive
happy,positive
haha.. good for you,positive
None to be had,negative
Good morning,positive
e Fine,positive
pleasure,positive
Bored,negative
aww,positive
good,positive
no problemo!!,positive
thanks,positive
love,positive
has a tummy ache,negative
Sleep-fail.,negative
What a miserable day,negative
Thanks,positive
sucks.,negative
i lose.,negative
noooooooo  i miss you,negative
awesome,positive
nice,positive
****,negative
liking,positive
****!,negative
hurts,negative
Can`t watch anymore,negative
cuuuute,positive
had a shitload of fun with her friends,positive
super excited,positive
sorry,negative
FLASH IS BEING **** TONIGHT!,negative
weird,negative
Thanks,positive
favorite,positive
HAPPY,positive
sad,negative
good,positive
my finger hurts,negative
wish,positive
In pillow heaven,positive
Lol,positive
hey! nice pic,positive
"Yes, you really should!",positive
disconnected,negative
can`t go to,negative
awww poor little girl on britains got talent,negative
happy mother`s day mom. love you always,positive
lovely,positive
s problems,negative
Cute,positive
thank you tiff,positive
y Mother Nature is making my life miserable,negative
Congratulations lo,positive
great,positive
always good to see you,positive
borred,negative
i wish i was home in bed naked,negative
i love,positive
I VERY much appreciate that.,positive
so good,positive
Thanks for the info,positive
ps it,positive
sorry,negative
lovin,positive
"thank you,",positive
c r a c k,negative
Very nice.,positive
that sounds foreboding...,negative
4th may officially announced as `bad luck day` ..,negative
e smh,negative
I would LOVE to ride the superman right now...,positive
made me smile,positive
lost,negative
awesome shooeessss,positive
IS BORED. Can`t even tease people now,negative
thank you!!,positive
how sweet,positive
cool and aww,positive
tired,negative
is sad because his tea and oatmeal are cold,negative
Nooooothing to do tonight,negative
won`t let me play,negative
cheer,positive
broken,negative
good,positive
excellent,positive
Thank,positive
seriously hung over,negative
dearly departed,negative
Roasting,negative
oh great.,positive
"awesome,",positive
didnt spend,negative
beautiful,positive
laaaaaaaaave,positive
I love,positive
happy mother`s day,positive
has plopped TWICE!,negative
amazing,positive
miss,negative
don`t feel good.,negative
. it sucks,negative
wow-thanks soo much.,positive
wrong,negative
So effing tired,negative
Good afternoon,positive
wish,positive
hope you had a nice break,positive
Goood Moring,positive
i hate the bus..,negative
Bad,negative
not so good,negative
watching the greatest movie ever,positive
have a great camp!!!!! Wish I could be there.,positive
miss,negative
Happy,positive
massive headache. argh,negative
absolutely DESTROYED,negative
thanks,positive
My mom was happy with my present  yayy,positive
good.,positive
wow!,positive
ran out of coffee!,negative
wishing I was anywhere but here...,negative
feeling lonely,negative
ii DON`T HAVE ANY EiTHER,negative
Delayed,negative
It should be illegal for me to date,negative
I scratched my iPod,negative
Have fun,positive
****,negative
miss,negative
Then back to **** school,negative
miss,negative
hi beautiful!,positive
hurt.,negative
interesting day. good overall,positive
i want to cry,negative
Good Morning,positive
I wish our  didn`t close,negative
Happy,positive
hurts.,negative
Good night everyone...,positive
delayed,negative
no more brother,positive
ahh love that song,positive
Its so hot here,negative
dont feel good,negative
miss you,negative
unfortunatley,negative
Partytiiime,positive
Yay for full-term!!,positive
Thanks.,positive
dammm.,negative
"this laptop is going to die,",negative
poor u,negative
don`t care about my struggles..,negative
"So much work, so little time",negative
getting bored of walking up and down the stairs,negative
"Eating Toast  ~Peanut Butter,,Yum",positive
super excited,positive
FacePanda is cool,positive
least favourite,negative
NiGHT NiGHT MY TWiTTER LOVES ON THE PHONE THEN SLEEP,positive
Happy,positive
great.,positive
"Patience, it`s worth it",positive
tummy hurts,negative
Chemistry is not fun..,negative
is enjoying the night with her folks.,positive
Nooooo!,negative
not soo good,negative
Good morning!!,positive
love,positive
congratss to them,positive
Chilling out...,positive
fantastic,positive
kill,negative
no worries,positive
Awww that is sweet,positive
didn`t work,negative
_x ah that`s annoying,negative
it feels so good,positive
hurts,negative
Hope,positive
great we,positive
rubbish!,negative
nice!,positive
saved!,positive
great meeting you,positive
funny.,positive
Haha.,positive
love,positive
om nom nom nom,positive
love,positive
congratulations,positive
just gott home from work and now relaxing,positive
help,positive
happy momies day!,positive
is allergic to you...Oh NO!,negative
bored,negative
Soooo full that im starting to feel sick,negative
Happy May Bank Holiday British Peeps,positive
Thinks she`s getting sick.....,negative
hairloss..,negative
had a great night,positive
Oh God bless you,positive
Got a fever and cnt sleep,negative
don`t feel good,negative
noooooooooo,negative
just not fun,negative
Time is just dragging by.,negative
psst new blog up.. comments me likey,positive
just missing jar,negative
bless you',positive
goodmorning,positive
yayay,positive
.that is soooo sad.,negative
good luck C have funn!,positive
they got attacked,negative
Feels like im going to cough up a lung,negative
nice,positive
fabulous,positive
sympathise,negative
love,positive
"still no class loaders,",negative
i`m at work starving,negative
saddest thing ever,negative
Looking forward,positive
is wishing everyone a blessed & beautiful Mother`s Day!,positive
sucks ****!,negative
weird,negative
Can`t stop coughing,negative
happy,positive
Doesnt feel good!,negative
Happy,positive
Ugh. Too much happened today. I really need a hug,negative
i miss,negative
Sorry,negative
HAPPY,positive
nice,positive
Moral support for students,positive
miss,negative
great,positive
"hey kellie,how are u?I FEEL HORRIBLE!",negative
Happy,positive
good.,positive
Missing,negative
great,positive
Exhausted after a 58 hour work week,negative
amazing,positive
likes,positive
4 fillings to the good(?,positive
misses,negative
sorry.,negative
you will be great! Have a wonderful first day,positive
hahaha I,positive
grand,positive
missin,negative
that makes me sad...,negative
My mouth hurts fr,negative
bad,negative
e welcome,positive
Still gutted that man utd lost,negative
ughhh,negative
Happy,positive
glad,positive
yes i am.  but she didn`t follow me,negative
your web URL looks good,positive
Or your mobile doesn`t like me,negative
Pissed at you,negative
no point anyways,negative
dying,positive
Ouch just burned myself making soup for nico...,negative
great,positive
"best,",positive
i`m so tired,negative
No free ice cream though,negative
W Happy Mother`s Day lady,positive
Great,negative
Damnit.,negative
ha ha  thank you!,positive
I`ll live,positive
You`re welcome.,positive
t Thank,positive
loves,positive
"imissu,",negative
sad,negative
pain,negative
Happy Bank Holiday,positive
"Hey, that link didn`t work for me",negative
recommend,positive
IÃ¯Â¿Â½m sorry for that,negative
it was yummy,positive
Love,positive
Worried,negative
missed,negative
s haha,negative
I don`t like my dress,negative
Im not happy,negative
retarded,negative
had a great night with friends,positive
Happy Mother`s Day,positive
I miss my friends so much,negative
like,positive
cool,positive
I envy,positive
Thanks for the feedback.,positive
mad traffic,negative
glamorous,positive
cry,negative
boring,negative
good luck to them,positive
Happy Mommy`s Day to all the mothers in the world!,positive
Great idea,positive
tough,negative
Nothing like alone time with your handheld device,positive
Feeling special @,positive
goodnight,positive
Hurt,negative
Happy Mothers Day!,positive
I like that.,positive
ready,positive
oh that stinks..,negative
Productive saturday night,positive
****,negative
can fix problems..,positive
Downtown drinking celebrating the cavs victory!!!,positive
yes i like the vids,positive
wtf,negative
ahh my poor feeeeeet,negative
Happy Mo,positive
SCREWED,negative
clearly need to crack the whip some more,negative
It`s killen me!,negative
Happy,positive
(Three and I`m out,negative
: yes  and ily,positive
in the heat... I hate this..,negative
I like that.,positive
disappointed..,negative
great,positive
This is dumb. I keep losing followers!,negative
happy,positive
now the pic wont load up on twitter,negative
Glad you are happy!,positive
what the hell,negative
spent too much already,negative
low,negative
great,positive
thanks,positive
boring,negative
tafe was actually quite good. fo,positive
Glad,positive
headache,negative
hi I`m ok   still not feeling grea,negative
"e look painful, poor bb",negative
i wish i gave you one last kiss,positive
nice,positive
**** you is all i have to say,negative
hateeee,negative
. The red cars hopefully,positive
happy,negative
miss,negative
couldnt,negative
has a headache from the the heat.,negative
e extremely clever,positive
good,positive
I`m sad,negative
miss,negative
Good,positive
broken,negative
**** everything,negative
miss,negative
"off this cold, ugh",positive
Missed you last night hon,negative
There`s nothing good on tonight anyway!,negative
we were bored,negative
happy,positive
r disappointing this year,negative
makes me sad,negative
amazing,positive
Look forward to,positive
tired,negative
yum!,positive
starving!!,negative
I won`t be getting one,negative
**** IT !,negative
GOOD MORNING!!,positive
good!  now let`s go get this done,positive
#iusedtobescaredof,negative
am little bit upset,negative
Aww..,negative
problem,negative
Im not friends with anyone anymore,negative
I want to be in love.......,positive
cant be bothered,positive
headache,negative
Thank,positive
STRESSED AS HELL,positive
great,positive
sore,negative
confirmation party,positive
had a 100% raw day,negative
rash,negative
Happy Mother`s Day,positive
Dear god i hope they save it,positive
Enjoying,positive
appreciate,positive
Njoying sunday  plce,positive
my stomach is bleh!,negative
boo,negative
good,positive
"good stuff,",positive
sad,negative
sick.,negative
thnks,positive
I heart you,positive
nonsense,negative
down!,negative
broke.,negative
hurts,negative
this sucks so bad,negative
I also have a brain tumor,negative
bad times?,negative
carnt stand hot weather,negative
it is a crying shame.,negative
so tired!,negative
wow,positive
Hope that migraine doesn`t stick around for too long.,positive
grad party,positive
.I`m trapped at work,negative
thanks,positive
misplaced,negative
Happy,positive
No one loves me  Brittany forgot my flowers...,negative
Wtf?,negative
Please dont ruin this,positive
died,negative
hate,negative
Im crying..,negative
wanna roc wit`chu,positive
fun,positive
Thanks!,positive
hate no,negative
Fab new pic by the way,positive
been in bed for two days with migraines,negative
save,positive
. Pleasant surprise,positive
"Ugh,what a boring day",negative
cute,positive
Still not working,negative
Why can`t i find,negative
Awww mate. that`s such a shitter,negative
NICE,positive
miss,negative
learn to fly higher...!,positive
last day of school  so sad,negative
"Thanks,",positive
thanks,positive
awwww,positive
sad,negative
cannot refused to feel the pain,negative
Love,positive
Thanks,positive
"Soo tired,",negative
Sorry to hear that,negative
I recommend this to everyone,positive
It`s depressing I`m stuck inside all day,negative
AWESOME,positive
looking forward,positive
Sorry I can not reach either URL,negative
good,positive
It`s so sad,negative
such a sad ending,negative
love,positive
hate,negative
...than,positive
miss,negative
easy,positive
hoping,positive
I`m so sorry.,positive
yummy strawberry lemonade,positive
laughed,positive
why the hell is it raining!! i hate the rain.,negative
hurts.,negative
annoying..,negative
omg man  i`ll pray for ya,negative
Very well thank you!,positive
sick,negative
She gives good advice.,positive
thank u,positive
lol i <3 spongebob,positive
Good Morning!,positive
whyd u feel awful after last night?,negative
cute!,positive
misses,negative
THANKS,positive
love,positive
sweet mum,positive
Hates,negative
Happy Star Wars Day!!!,positive
real bad headache..,negative
is so tired iv,negative
"Awe Man, I hope someone turns it in",positive
i need some serious cheering up,negative
Scared,negative
Wow no one loves me,negative
Oh noes!! Melted ice cream = do not want.,negative
favorite.,positive
nice,positive
Grrr..stupid internet connection,negative
absolutely hilarious,positive
relaxing,positive
july... too long,negative
tierd.i,negative
Tired,negative
broke,negative
won,positive
"If you like him, then you should go",positive
This week has been so lonely without gossip girl,negative
is there anyway you could forgive me?,negative
excited,positive
I corrected myself,positive
lovin`,positive
Can relax a bit now.,positive
i`ll miss y`all back...,negative
thankyou.,positive
awarded..,positive
YES!!!,positive
doesn`t wanna get dressed up an,negative
sad,negative
hahahaha! i laughed my **** off just now. thanks,positive
lucky,positive
"Haha, nice! ;) Thanks for letting me know!",positive
She`s so festive aint` she hehe,positive
i tried to help,positive
Happy Meal,positive
falling out with nick,negative
happy,positive
really well to,positive
"sweet,",positive
awesome,positive
boring,negative
"i lost friends,",negative
DAYUUMM Life`s Hard,negative
i feel like a princess.  i love lingerie parties!,positive
happy,positive
.not well today,negative
crying!,negative
Miss you,negative
Needless,negative
sweet dreams!,positive
wtf,negative
why im not sleeping  !!,negative
EEEEEEEEEEE!!,positive
My aim is not working due to network problems,negative
i know   but its better than nothin,positive
hate,negative
Wish,positive
nice,positive
.nice 2 c u today.,positive
doin homework ugh,negative
we can learn together!,positive
my head feels sooooooooooo much better,positive
Uncool.,negative
Patrick should come here and say hi!,negative
My goodness!,positive
Allergies suck,negative
bored!,negative
wishing,positive
i cantttt.,negative
? What`s wrong,negative
I LOOK forward,positive
"kinda cute, to be honest",positive
Sad,negative
"lmao, it`s true",positive
I wish I could,positive
really good day,positive
spammers,negative
nice,positive
Goooood,positive
happy mom`s day,positive
Wow... I was tricked in,positive
Happy Mother`s Day,positive
some things never change,negative
I hate my arrival,negative
hanging with my bestie,positive
HAPPY MOTHER`S DAY,positive
really bad,negative
tore,negative
sucks.,negative
weird,negative
sucks,negative
I can`t keep it,negative
Why does my boss have to come in today.....,negative
wasn`t nice,negative
awesome,positive
Thats soooo pretty.,positive
Im so boring..,negative
happy mothers day... *i love you mom...*,positive
You are very much welcome,positive
Good night,positive
#NAME?,positive
eating breakfast  getting ready to go to school ;(,negative
Phew long day,negative
anxious,negative
Relaxing.,positive
sad,negative
Thank you.,positive
yay me!,positive
thanks,positive
thank u soooooo much,positive
Goodnight,positive
"Ah, the bank holiday shift at work. What fun",negative
Thanks,positive
my device thing doesn`t work,negative
missing..,negative
Bummed that F! F! F! broke up,negative
DAM i wish cElEbs cOuld frikken fOLLow baaaaaaaaaaackkkkkkkk,negative
Getting serious withdrawal symptoms,negative
Thanx,positive
missing,negative
Scary guy on,negative
Aww how sweet,positive
ANGRY,negative
you`re hot,positive
Feeling much better  Doing History Research.,positive
Migraine is fighting its way back,negative
"Wow, a calm evening",positive
good,positive
e looove.,positive
lmao,positive
HAPPY,positive
pretty fun way to,positive
Thanks,positive
Good morning!,positive
crappy,negative
guys are retarded!,negative
[ the angle ],positive
yummy,positive
I love crowded,positive
Hate,negative
I`m doing okay,positive
good,positive
thanks.... just awesome,positive
omg,positive
amazing,positive
excited!,positive
misses  so much,negative
sore knee,negative
lost,negative
Having fries plus greentea. Mmm,positive
not working,negative
win!,positive
Great job man!,positive
bummer,negative
tired,negative
Happy Star Wars Day,positive
enjoying lazying around,positive
Happy Mother`s day,positive
hahahaha,positive
.congrats on graduation.,positive
"lonely,D",negative
doesnt understand twitter,negative
good,positive
Doubtful!,negative
sad,negative
seems like a win win situation,positive
thanx,positive
got me down.,negative
I love,positive
made me sad.,negative
snuggled,positive
I hat,negative
wish,positive
not feeling great today. boo,negative
Thank you,positive
Happy Mother`s day,positive
"Hot ****,",negative
hurts..,negative
thank you!,positive
i hate it,negative
So cold in here!  getting the chill,negative
Whoops!,negative
starting to feel really old.,negative
ily babe. Sweet dreams.,positive
Please somebody hire me?!,negative
Mango Medley has yummy mango and mango ice cream!,positive
love,positive
hate,negative
'good save',positive
killing,negative
I like them.,positive
best,positive
great,positive
good,positive
hooray!,positive
Life sucks,negative
I just got twitter for my palm  <3,positive
hates th,negative
"Nice win by the Dodgers, 8-0 over Giants",positive
Cleaning,positive
.not nice,negative
WHOA! Twilight the board game! AAAHAHA,positive
Wishing everyone a good night,positive
youstinkatrespondingtotexts!,negative
cry,negative
don`t worry  just sleep.,positive
should be good.,positive
hurts,negative
Love,positive
l miss,negative
I sure hope so!,positive
OMG its working,positive
sooo sad,negative
whoa steady there mate don`t fall down,positive
Super Sad Face,negative
thanks,positive
forget,negative
wishes all you moms a happy & blessed Mother`s Day!,positive
tired,negative
just said goodbye to the younger bro.  #misshimalready,negative
Yayy,positive
that sucks,negative
awww bless her. she made me cry,positive
we miss you,negative
MY PUFFFFY IS LEAVINGGGGGGG  NOOOOOOOOO,negative
love,positive
hurts,negative
I miss you!,negative
wow,positive
great,positive
mother is hogging the TV,negative
Awesome!,positive
youu look so cuute !,positive
happy,positive
awsome,positive
_ no idea wh,negative
bullied,negative
my eyes are crossing...,negative
. Yayy,positive
NICE,positive
its taking forever to upload,negative
stupid,negative
my twitter looks funny  someone help!,negative
Wow!,positive
Thanks for the follow!,positive
ugh,negative
good,positive
Home Sweet Home by Carrie Underwood makes me sadd,negative
t I`ve loved it...,positive
bad..,negative
good,positive
so expensive.,negative
is working hard or maybe thats hardly working,negative
I was being serious.,negative
! I`m totally bored!,negative
no longer,negative
missed the #coffeeclub that day,negative
"sick,",negative
shitt,negative
bad,negative
goods night,positive
"i lost my nintendogs, it`s very upsetting.",negative
Yes man was good,positive
Loves her david soooooo much,positive
Good,positive
boring!,negative
doesnt work,negative
love,positive
amazing,positive
thats a good movie,positive
i`m fine thanks,positive
I second this !!,positive
very very nervous  bah,negative
goodluck,positive
like,positive
I aim to please.,positive
good luck with you finals!!!,positive
not eating lunch with my wife like I wanted to,negative
Good Morning/,positive
Happy,positive
failed,negative
Mortified.,negative
nd thank,positive
Looks like I got a new job,positive
May the forth be with you .....,positive
i am sad.,negative
fickleness,negative
accidentally,negative
stupid..,negative
fav,positive
cool!,positive
cool.,positive
I wish,positive
thanks,positive
good,positive
headache,negative
sowy,negative
lol that`s great  For you.,positive
Thanks,positive
SAD,negative
Can`t believe those idiots buzzed out the juggler.,negative
'unusual activity??',negative
miss,negative
fond,positive
i think no!,negative
goodbyeeee,negative
LOVES,positive
Rey Mysterio is so awesome,positive
inlove,positive
nice,positive
good hobby,positive
I always appreciate,positive
Thanks,positive
So exhausted..can`t sleep.,negative
Not feeling comfortable,negative
love,positive
i love BOTH your hairsss,positive
You suck,negative
thanks,positive
"Goodnight. Actually, great night.",positive
hates continually getting sick,negative
OMG No fair,negative
I`m feeling so frustrated..,negative
crushed..,negative
oh haha thanks again!,positive
Thanks,positive
enjoying,positive
nice!,positive
couldn`t find,negative
quite good,positive
I didn`t like,negative
Shame,negative
some great stuff,positive
seems so appropriate,positive
omg he is cute,positive
Thankyou,positive
Thanks lady!!,positive
greeeeeat!,positive
im sad,negative
oh wait wrong state,negative
depressed,negative
Rude.,negative
thank,positive
is always grand,positive
love your new profile pic,positive
miss u more,negative
**** ruin,negative
you don`t love me anymore!,negative
so **** hot!,negative
Had interesting WKND.,positive
headache,negative
slept too less..,negative
I hate,negative
Cool show,positive
Thanks,positive
.enjoy,positive
missing  on his birthday,negative
#fail,negative
"moan,whinge,moan",negative
lorraine kelly is a sexy mama!,positive
wish,positive
sighs.,negative
glad,positive
squirted,negative
Great meeting you!,positive
Omigoodness,positive
goodmorning !,positive
I don`t like it.,negative
"sorry,",negative
wishing,positive
lost,negative
fun.,positive
great,positive
"is upset,",negative
real stressed,negative
Ba-dum-tish!  You win,positive
disappointed,negative
Yay,positive
some pervert just ruined it,negative
hate,negative
Can`t sleep,negative
lovely Mo,positive
awesome!,positive
i feel extremely depressed right now.,negative
i love his nose kisses,positive
Not good news,negative
you can do it,positive
. Boooo,negative
headache,negative
"Same here, having a nice, quiet Sunday",positive
I hate,negative
missed,negative
happy mothers day!,positive
awesome,positive
goodnight,positive
thaanks!,positive
own 2nit but i cant go.,negative
rocks,positive
****,negative
e wonderful,positive
"thanks clair,",positive
arent fun,negative
"thanks,",positive
good,positive
beautiful Saturday,positive
"exhausted,",negative
doesn`t love me no more,negative
"failed,",negative
thanks!,positive
wish,positive
hope all is ok,positive
sorry.,negative
john mayer is freaking cool.,positive
lovely day,positive
"Thanks,",positive
its bleeding  owwiee,negative
"just nothing perfect in life, darn it!",negative
POOOOOOOOR SHEEEEP!!!,negative
welcome.,positive
Thanks for the follow man,positive
Too bad,negative
thats good,positive
good luck,positive
Bus stuck in traffic; gonna be late,negative
i hate rain and people.,negative
headache,negative
good,positive
Awe i feel so left out,negative
Sooo much work so little time,negative
I fell in love with coupons!,positive
"oh dear. (I`m sorry, but i laughed",negative
is looking forward to,positive
Feeling sick at stomach today,negative
fun,positive
thank,positive
Happy,positive
fun,positive
nice,positive
Thanks,positive
Bummer..,negative
were not as good as the Brazillians,negative
lost,negative
Feeling bad th,negative
worst.,negative
love,positive
Happy,positive
shouts out,negative
stupid only rogers,negative
Dang,negative
"t, Cute AND Predictable",positive
relaxin..,positive
YUM!!!,positive
That just means you were not trying hard enought,negative
I am spilling everything,negative
lame,negative
"Good job, team!",positive
should be going to bed but cannot sleep right now.,negative
argh!,negative
Happy Birthday husband,positive
HAPPY,positive
fight,negative
beautiful,positive
i think  missed me tooo,negative
congrats,positive
shucks,negative
ugh. I totally can`t sleep.,negative
whahahah thank you,positive
it was great,positive
Good,positive
Unfortunately,negative
MORE convenient.,positive
i miss,negative
shweeeeet!,positive
"bad idea,",negative
so classy.,positive
love,positive
wish,positive
wtf,negative
Its gonna be fun,positive
Sorry,negative
NOT wanting,negative
"****, I cut my finger!",negative
Happy Mothers Day!,positive
bad,negative
Luv,positive
happy,positive
I no longer have a ticket for ny,negative
Good to know,positive
is feeling so bored..,negative
PHEW!,negative
"Headache is gone,thank god!Time for tea i think",positive
s crying,negative
Having fun,positive
Happy,positive
I wish the photos on your site were bigger,negative
miss,negative
cheap and good system,positive
makes me sad,negative
suck,negative
fail.,negative
geek!,negative
Great!,positive
cute,positive
languishing,positive
bad,negative
"I swear, now my dog is having anxiety issues.",negative
Beautiful monday morning  so happy,positive
love,positive
tummy ache.,negative
haha!!,positive
sorry,negative
welcome!,positive
suuuuck!,negative
thank you very much!,positive
"Happy Mother`s day to allMothers, Cheers!!",positive
broken.,negative
Oh no,negative
happpppy mothers day,positive
is tired if ppl **** talking,negative
I love,positive
Sounds Fun!,positive
Sunburn on my knees,negative
I love you  kiss me!,positive
Looking,positive
o worth,positive
hoping,positive
"Oh man,",negative
You`re welcome,positive
I`m bored.,negative
still feeling poorly are you,negative
Thank you so much,positive
ache,negative
not feeling very well,negative
fun,positive
Neat,positive
Missing,negative
toothache,negative
They don`t let the queer boys donate blood.,negative
i HATE U.S,negative
o exciting,positive
Thanks,positive
frustrated,negative
wish i was outside,negative
Thank,positive
yay!,positive
why won`t the kids sleep,negative
stop making fun,negative
good luck,positive
my bad.,negative
sucks.,negative
FML still awake  melatonin not working!,negative
confused,negative
sticky,negative
i like it,positive
okay the new jonas episode was awesome,positive
Good,positive
****.,negative
Love,positive
bad.,negative
woot,positive
really smart,positive
fine,positive
I love my job,positive
"well,u`re lucky",positive
wtf.,negative
great,positive
ugh!,negative
good,positive
sorry to disappoint.,negative
I am so jelz.,negative
bored,negative
i remote dead.. no multiplayer here tonight,negative
expecting noting but amazing,positive
headache,negative
Thx,positive
I love my big brother very much.,positive
Chicken beer and good company makes a good night...,positive
bored,negative
fun,positive
Good!,positive
bored!,negative
awesome,positive
Im gonna miss you so much,negative
love,positive
HAHA  Thanks,positive
Happy,positive
hopefully,positive
goodnight,positive
. He looks nice today thoughh.,positive
its magic,positive
Goodnight!,positive
banged,negative
I hate having headrush,negative
thanks,positive
angry,negative
I think my phone has officially bit the dust.,negative
love,positive
talented,positive
is a failure,negative
Not feeling too good,negative
sad,negative
Goodnit,positive
dont be gloomy.,positive
love,positive
Happy Star Wars Day,positive
Happy,positive
It`s fun,positive
selling my drumset  sad day,negative
I hope you get well soon! <3,positive
bad.,negative
uh oh,negative
cool kids do,positive
it`s even hot,negative
Can I get some gd news for gods sake,negative
I love,positive
good to hear,positive
missed,negative
sucks,negative
Sorry,negative
broke,negative
goodnight,positive
happy mother`s day to all mothers out there!!,positive
tired,negative
thanks _benson,positive
tired,negative
ard earn money dissapear.,negative
miss,negative
I think I lost all of my blog posts,negative
****,negative
upset,negative
Ouch!! Burnt my arm,negative
good stuff!,positive
Still stupidly sick...cancelled our Philly trip. Sad day,negative
happy,positive
sad,negative
thanks,positive
"You are welcome, xuxu",positive
fun,positive
s LOST,negative
goodies  lol,positive
i love electro house,positive
s so ugly,negative
they look nice,positive
Yum,positive
boring,negative
This porridge tastes ****!,negative
so relaxing,positive
tough decision,negative
Miss you my dear,negative
I`m not giving up,positive
Complicated with a dream,negative
Thanks! and to you as well!,positive
y the nicest things,positive
"thanks ALOT,",positive
i agree,positive
fantastic,positive
has a really really itchy eye,negative
i`m really tired today!!,negative
Glad everything is okay.,positive
just made my day:,positive
Too bad,negative
fed up of pain now,negative
bored,negative
happiest,positive
It`s hella itchy!,negative
we had a blast,positive
sad day*L,negative
does not like,negative
Thank you so much,positive
wants to go home,positive
i miss your dance friends too.,negative
Gudluck,positive
welcome.,positive
sorry didn`t get to see you,negative
Thanks,positive
Loving my boys,positive
warning,negative
Boring!,negative
good work,positive
The pretty flowers john mains brought the ladies 2nite!,positive
worst,negative
disappointing,negative
****.,negative
oh that`s cool   Thanks!,positive
pleasure,positive
star trek was grtsat bggeting drunk now,positive
bad,negative
UBER SICK MIX,negative
saddest mo,negative
Thank You!!,positive
miss chatting with you,negative
miss,negative
lied.,negative
sorry,negative
Have fun,positive
good,positive
happy,positive
lets hope,positive
blessed day!!!,positive
wow,positive
excited,positive
You lucky girl.,positive
Goodnight Beautiful world  sweet dreams. olive juice!,positive
sounds good!,positive
hate,negative
Sorry,negative
"There go my big plans... thanks, tonsils.",negative
aww happy mother`s day,positive
HAPPY MOTHER`S DAY TO ALL OUR MOMS!,positive
awesome.,positive
sucks.,negative
There are bugs attacking my laptop,negative
sunny,negative
sry,negative
Happy Mom`s Daaay!,positive
Mad,negative
IM MAD IT WASNT SCAREY,negative
"I am tired tired tired, I think Im getting sick.",negative
Thanks,positive
never got through,negative
daaammmnnnnn I do wish I was there.,negative
HAPPY,positive
happy,positive
Happy mother`s day !!!!,positive
really want to see,positive
hates the net.,negative
Hope you have a better weekend then.,positive
wants to welcome,positive
Itchy,negative
congrats,positive
Thanks,positive
Hope you don`t get let down again.,positive
.I thought I was funny,negative
funny n almost right,positive
delicious,positive
love,positive
sucks,negative
haha,positive
HOPE.,positive
so bored..,negative
sorry,negative
. Thank you,positive
Dancing was alright to,positive
so clumsy lately?,negative
fun,positive
you are right,positive
I nvr wanted May to come to an end,positive
everybody is sick,negative
I`m sorry.,negative
not looking forward,negative
"stupid,",negative
upset,negative
believe,positive
", i`m really gonna mess this uuuup",negative
AHHH!,negative
thanks,positive
what Brody how dare u,negative
Norwood house party haaaaaa... Yaaaaaaay (smiles),positive
Happy,positive
makes sense,positive
thank you,positive
hopefully,positive
goooooood,positive
thanks,positive
sucks for you,negative
rubbish.,negative
sick..,negative
great show,positive
darn.,negative
broken,negative
lonely,negative
realy can`t sleep,negative
bad,negative
happy.,positive
good,positive
Got a deadline to meet!!!,negative
the best lol,positive
missed,negative
thanks.,positive
", are a true fan",positive
sick,negative
wrong,negative
"aaahhh, showers are great",positive
is missing someone..,negative
great,positive
Lmfao,positive
I miss them..,negative
people r weird,negative
jummy,positive
"its funny,",positive
feelin like blah..,negative
Hope everything ok,positive
cool,positive
missed my friggin hair,negative
a fantastic,positive
hope everyone has a great bank holiday,positive
Greatt..',positive
am still tired,negative
killing me.,negative
